cname,cename,cuname,acode,acname,bcode,bcname,hcode,hcname,stType,ecotype,exmarket,bexmarket,mananger,lere,domi,doshi,stockre,aldoshi,phone,email,tax,website,warea,sarea,area,postcode,signcoin,buscode,hnum,mnum,lesta,kusta,intro,buarea,sdate,bdate,fabei,onlinedate,faway,evalue,fasize,favalue,facost,fa_avalue,collcoin,firmon,firback,fircha,firsthigh,onliqian,inqian
中国北方稀土(集团)高科技股份有限公司,"China Northern Rare Earth (Group) High-Tech Co.,Ltd.",稀土高科->G稀土->稀土高科->包钢稀土,600111,北方稀土,--,--,--,--,上交所主板A股,有色金属,上海证券交易所,制造业-有色金属冶炼和压延加工业,李金玲,赵殿清,余英武,赵殿清,--,"钱明星,苍大强,祝社民,王晓铁,周华","0472-2207525,0472-2207799",cnrezqb@126.com,0472-2207788,"www.reht.com,www.reht.cn",内蒙古包头市稀土高新技术产业开发区黄河路83号,内蒙古自治区包头稀土高新技术产业开发区黄河大街83号,内蒙古,014030,36.3亿,91150000701463622D,10184,24,内蒙古建中律师事务所,致同会计师事务所(特殊普通合伙),"中国北方稀土(集团)高科技股份有限公司前身是包钢8861稀土实验厂,始建于1961年。1997年9月由包钢(集团)公司联合嘉鑫有限公司(香港)、包钢综企公司,以包钢稀土三厂、选矿厂稀选车间资产为基础,发起成立股份有限公司并成功上市,股票代码“600111”。","(国家法律、法规规定应经审批未获审批前不得生产经营)稀土精矿,稀土深加工产品、稀土新材料及稀土应用产品;铌精矿及其深加工产品;冶金产品、煤炭及其深加工产品、化工产品、光电产品经营;设备、备件的制造、采购与销售;进口本企业所需产品;出口产品;技术的开发应用、推广转让,技术、信息服务;分析检测;建筑安装、修理;自有房地产经营活动、机械设备租赁。",1997-09-12,1997-09-24,14.3,1997-08-27,网下定价发行,1.00,8000万,4.43,1200万,3.54亿,3.42亿,7.38,7.97,59.97%,8.00,--,0.65%
贵州长征天成控股股份有限公司,"GUIZHOU CHANGZHENG TIANCHENG HOLDING CO.,LTD",长征电器->G长征->长征电器->长征电气->天成控股->*ST天成->天成控股,600112,ST天成,--,--,--,--,上交所风险警示板A股,输配电气,上海证券交易所,制造业-电气机械和器材制造业,高健,高健,戚莉丽,高健(代),戚莉丽,"王庆,龚经治,张再鸿",0851-28620788,czdq600112@126.com,0852-8654903,www.tckg.cn,贵州省遵义市汇川区武汉路长征电气工业园,贵州省遵义市武汉路临1号,贵州,563002,5.09亿,91520000214796622C,698,12,北京市中伦(重庆)律师事务所,中审华会计师事务所(特殊普通合伙),"贵州长征天成控股股份有限公司1997年上市,是专业生产高、中压电器元件的国家大型一档企业,具备年产有载分接开关5000台/套、中压元件设备4万台/套的能力,是西南地区的工业电器生产基地之一,同时拥有广西固封式真空断路器及高压成套设备生产基地。目前已形成以电气设备、金融以及矿业开发三大产业为支柱的产业集团。天成控股主营业务包括电气设备制造、矿产资源开发及金融三大业务。",高、中、低压电器元件及成套设备;电气技术开发、咨询及服务;精密模具、机械加工。矿产品开采、加工(在取得许可或资质的子公司或分公司开展经营活动)、销售、进出口业务;有色金属贸易;网络系统技术开发、技术服务及成果转让;投资管理;对外贸易、对外投资;提供金融、商业信息咨询。,1997-11-13,1997-11-27,13.3,1997-10-31,网下定价发行,1.00,4000万,4.31,724万,1.72亿,1.65亿,8.00,8.35,64.05%,8.39,--,0.73%
浙江东日股份有限公司,ZHE JIANG DONG RI LIMITED COMPANY,浙江东日->G东日,600113,浙江东日,--,--,--,--,上交所主板A股,综合行业,上海证券交易所,租赁和商务服务业-商务服务业,杨澄宇,杨作军,谢小磊,杨作军,戴儒哲,"费忠新,鲁爱民,李根美",0577-88812155,600113@dongri.com,0577-88842287,www.dongri.com,浙江省温州市矮凳桥92号,浙江省温州市矮凳桥92号,浙江,325003,4.11亿,9133000071095874X3,815,16,浙江天册律师事务所,天健会计师事务所(特殊普通合伙),"浙江东日股份有限公司1997年在上海证券交易所挂牌上市“浙江东日”股票,以专业市场开发、房地产开发为主业,涉足进出口贸易和金融投资等领域,成为跨行业、跨地区、投资控股型、经营集团化的现代公司。公司投资开发的专业市场——温州东方灯具大市场,现有营业面积4万平方米,店铺500多家,主要经营民用、工程、庭院等各类灯具灯饰,年成交额为20多亿元。先后荣获“浙江省重点市场”、“全国文明市场”等称号,吴邦国、钱其琛等党和国家领导人员曾先后视察东方灯具市场,并予以高度赞扬。","实业投资,市场租赁经营,计算机网络开发,各类灯具及配件的生产、销售,物业管理。农产品批发市场、农贸市场的经营和管理。",1997-10-06,1997-10-21,13.1,1997-09-22,网下定价发行,1.00,4000万,5.75,624万,2.30亿,2.24亿,10.90,11.88,66.09%,12.02,--,1.27%
东睦新材料集团股份有限公司,"Nbtm New Materials Group Co., Ltd.",宁波东睦->G东睦->宁波东睦,600114,东睦股份,--,--,--,--,上交所主板A股,金属制品,上海证券交易所,制造业-金属制品业,朱志荣,朱志荣,严丰慕,朱志荣,张小青,"汪永斌,吴红春,刘新才",0574-87841061,zhangxq@pm-china.com,0574-87831133,www.pm-china.com,浙江省宁波市鄞州工业园区景江路1508号,浙江省宁波市鄞州工业园区景江路1508号,浙江,315191,6.16亿,91330200610271537C,2537,20,上海市锦天城律师事务所,天健会计师事务所(特殊普通合伙),"东睦新材料集团股份有限公司是国内一家以粉末冶金机械零件生产为主业的上市公司(股票代码:600114),目前已发展成为中国粉末冶金行业的领导者,已连续多年在国内粉末冶金行业中处于市场绝对领先地位,在国际粉末冶金行业及相关市场也具备一定的品牌知名度,2017年,公司成功入选国家“第二批制造业单项冠军示范企业”。公司具有六十年的粉末冶金专业生产经验,拥有一整套国际先进的粉末冶金生产技术和设备,截至2017年底,公司拥有发明专利52项,实用新型专利147项,软件著作权1项,外观设计专利4项。公司建立了“国家级企业技术中心”、“国家认证实验室”、“博士后科研工作站”、“浙江省东睦新材料粉末冶金研究院(省级重点)”,具备开发和生产各种粉末冶金模具和粉末冶金零件的能力。公司现为中国机械通用零部件工业协会粉末冶金分会理事长单位,中国机械通用零部件工业协会副理事长单位、粉末冶金产业技术创新战略联盟副理事长单位。",粉末冶金制品、专用设备、工装模具及原辅材料的生产销售和技术咨询服务;自有房屋出租。,1994-07-11,2004-05-11,13.89,2004-04-19,定向配售,1.00,4500万,10.00,1801万,4.50亿,4.32亿,14.80,14.54,42.91%,15.08,--,--
中国东方航空股份有限公司,China Eastern Airlines Corporation Limited,东方航空->S东航->东方航空->ST东航,600115,东方航空,--,--,00670,中国东方航空股份,上交所主板A股,民航机场,上海证券交易所,交通运输、仓储和邮政业-航空运输业,李养民,刘绍勇,汪健,刘绍勇,杨辉,"董学博,蔡洪平,邵瑞庆,林万里","021-22330929,021-22330920",ir@ceair.com,021-62686116,www.ceair.com,上海市闵行区虹翔三路36号东航之家北区A2栋5楼,上海市浦东国际机场机场大道66号,上海,201100,164亿,913100007416029816,78290,16,北京市通商律师事务所,安永华明会计师事务所(特殊普通合伙),"中国东方航空股份有限公司主要业务范围为国内和经批准的国际、地区航空客、货、邮、行李运输业务及延伸服务。此外,本公司还获准开展以下业务经营:通用航空业务;航空器维修;航空设备制造与维修;国内外航空公司的代理业务;与航空运输有关的其他业务;保险兼业代理服务;电子商务;空中超市;商品批发、零售。公司以全面深化改革为主线,以国际化、互联网化为引领,围绕转型发展、品牌建设、能力提升,致力于实现“打造世界一流、建设幸福东航”的发展愿景,加快从传统航空承运人向现代航空综合服务集成商转型。公司打造精简高效的现代化机队,近600架飞机平均机龄约5.5年;围绕上海核心枢纽和昆明、西安区域枢纽,依托天合联盟合作平台构建起延伸至177个国家、1074个目的地的航空运输网络,为全球旅客和客户提供优质便捷的航空运输及延伸服务。","国内和经批准的国际、地区航空客、货、邮、行李运输业务及延伸服务;通用航空业务;航空器维修;航空设备制造与维修;国内外航空公司的代理业务;与航空运输有关的其他业务;保险兼代理服务;电子商务;空中超市;商品批发、零售。并且,从事根据公司法组成的股份有限公司都可以从事的其他合法活动。",1995-04-14,1997-11-05,18,1997-10-24,网下定价发行,1.00,3.00亿,2.45,1415万,7.35亿,7.21亿,7.41,7.33,76.22%,7.58,--,0.64%
重庆三峡水利电力(集团)股份有限公司,"Chongqing Three Gorges Water Conservancy and Electric Power Co.,Ltd.",三峡水利->S渝水利,600116,三峡水利,--,--,--,--,上交所主板A股,电力行业,上海证券交易所,电力、热力、燃气及水生产和供应业-电力、热力生产和供应业,何华祥,叶建桥,张华平,叶建桥,王静,"孙佳,姚毅,张兴安,汪曦",023-63801161,sxsl600116@163.com,023-63801165,www.cqsxsl.com,"重庆市渝中区邹容路68号大都会商厦3611室,重庆市万州区高笋塘85号",重庆市万州区高笋塘85号,重庆,"400010,404000",9.93亿,91500101711607773T,1839,24,重庆源伟律师事务所,天健会计师事务所(特殊普通合伙),"重庆三峡水利电力(集团)股份有限公司起源于1929年成立的万县市电业公司,至今已有80余年产业发展历史。公司于1994年经四川省经济体制改革委批准,由原万县市电力总公司、小江电厂等企业共同发起,以定向募集方式改制成立了股份有限公司。1997年8月,公司在上海证券交易所上市(股票代码:600116),为重庆市首家电力上市公司。",发电、供电。电力工程勘察、设计、施工;电力设施承装、承修、承试;电力技术的开发、技术转让、技术咨询、技术服务;电力物资销售及租赁;电力项目开发;高低压电器成套开关设备生产;制造第一类压力容器(D1)、第二类低、中压容器(D2)。,1994-04-28,1997-08-04,15,1997-07-23,网下定价发行,1.00,5000万,6.38,1000万,3.19亿,3.09亿,14.58,14.29,63.31%,15.00,--,0.69%
西宁特殊钢股份有限公司,"Xining Special Steel Co.,Ltd.",西宁特钢->G西钢,600117,西宁特钢,--,--,--,--,上交所主板A股,钢铁行业,上海证券交易所,制造业-黑色金属冶炼和压延加工业,张伯影,尹良求,熊俊,尹良求,李万顺,"王富贵,程友海,卫俊",0971-5299673,xntg@public.xn.qn.cn,0971-5218389,www.xntg.com,青海省西宁市城北区柴达木西路52号,青海省西宁市,青海,810005,10.5亿,916300002265939457,6668,20,青海捷传律师事务所,大华会计师事务所(特殊普通合伙),"西宁特殊钢股份有限公司(简称西宁特钢)是中国西部地区极大的资源型特殊钢生产基地,是国家军工产品配套企业。公司拥有铁矿、煤矿、钒矿、石灰石矿等资源10.7亿吨,已形成年采选铁矿700万吨、铁精粉200万吨、原煤120万吨、焦炭80万吨、铁160万吨、钢160万吨、钢材200万吨的综合生产能力,是集“钢铁制造、煤炭焦化、铁多金属、地产开发”四大产业板块为主体的资源综合开发型钢铁联合企业集团,是中国四大特钢企业集团之一。","特殊钢冶炼及压延、来料加工、副产品出售;机械设备、工矿、冶金及其它配件、工具的铸造、锻压、加工、焊接;机电设备制造、安装、修理及调试;桥式起重机、门式起重机、塔式起重机、门座起重机、桅杆起重机、旋臂式起重机、升降机、轻小型起重设备、缆索起重机、机械式停车设备安装、维修;煤气、蒸气、采暖供销;煤焦油、炉灰渣、钢、铁、铜屑销售;水电转供;金属及非金属材料;冶金产品检验(依据证书附件认可范围为准);五金、矿产、建材、废旧物资销售;给排水、电、气(汽)管理施工;工业炉窖;工程预算、决算、造价咨询;技术咨询、培训、劳务服务;溶解乙炔气、压缩气体(氧、氩、氮气);科技咨询服务、技术协作;热轧棒材、钢筋(坯)的生产及销售,经营国家禁止和指定公司经营以外的进出口商品;经营进出口代理业务;铁合金、钢铁材料、冶金铸件等冶金产品及冶金炉料、辅料产品的加工销售、硼酸、硫酸亚铁的加工销售;铁艺、铝合金门窗、涂料、白灰、水泥加工销售;普通货运;货物装缷搬运服务、货物仓储服务(不含危险化学品);会议展览服务;有形动产租赁服务;矿渣微细粉的生产、销售;矿渣免烧砖的生产及销售;炼铁业粉尘的处理及销售;包装袋、石棉制品、耐火材料、帐篷、篷布、机电产品备件、五金结构件、化工产品(不含危险化学品)、百货、电脑耗材、暖气片销售;室内装饰装潢;矿产品(不含煤炭销售);各类再生资源的收购、销售、加工利用(国家有专项规定的除外);黑色和有色金属废料及制品;报废的机械设备和机电设备(不含废旧汽车)、做废旧物资处理的仓储积压产品、残次品回收(加工);废旧轮胎、橡胶的加工利用;预拌商品混凝土专业承包叁级;工程机械及配件销售;销售医用氧气钢瓶、氧气袋、氧气表;销售工业氧气表、氧气袋、氧气枪;销售旅游用便携式氧气罐、停车服务。(以上经营范围中依法须经批准的项目,经相关部门批准后方可开展经营活动)",1997-10-08,1997-10-15,14.1,1997-09-23,其他发行方式,1.00,8000万,5.80,1600万,4.64亿,4.48亿,8.00,7.88,43.17%,8.18,--,0.99%
中国东方红卫星股份有限公司,"China Spacesat Co.,Ltd.",中国泛旅->中国卫星->G卫星,600118,中国卫星,--,--,--,--,上交所主板A股,航天航空,上海证券交易所,制造业-计算机、通信和其他电子设备制造业,葛玉君,张洪太,万银娟,张洪太,徐红梅,"雷世文,刘登清,郑卫军,金占明",010-68118118,600118@spacesat.com.cn,010-68197777,www.spacesat.com.cn,北京市海淀区中关村南大街31号神舟科技大厦12层,北京市海淀区中关村南大街31号神舟科技大厦12层,北京,100081,11.8亿,911100001000274544,4493,22,北京市天元律师事务所,大华会计师事务所(特殊普通合伙),"中国东方红卫星股份有限公司(简称“中国卫星”)是中国航天科技集团公司第五研究院控股的上市公司(600118),是专业从事小卫星及微小卫星研制、卫星地面应用系统及设备制造和卫星运营服务的航天高新技术企业。 目前,中国卫星已发展成为具有天地一体化设计、研制、集成和运营服务能力的产业化集团公司。在小卫星及微小卫星研制方面,已成功开发了以CAST968(CAST1000)平台为代表的多个系列小卫星和微小卫星公用平台,成功发射对地观测、海洋监测、环境监测、空间探测、科学试验等多颗不同用途的现代小卫星,同时具备部分宇航部件产品的生产能力;在卫星地面应用系统及设备制造方面,拥有地面站系统集成、卫星导航、卫星通信、卫星遥感、信息传输与图像处理五大领域20多类产品,在北斗导航、动中通产品市场占有率方面处于国内领先地位,并拥有“天绘”系列遥感卫星数据总代理权。公司科研实力雄厚,主业发展快速,正朝着产业化、规模化、国际化方向迈进,并将努力发展成为主业突出、管理科学、效益显著、持续发展、机制灵活、具有强大核心竞争力和相当产业规模的中国航天核心企业和国际一流的综合型宇航公司。",卫星及相关产品的研发、设计、制造、销售;航天技术应用及相关产品的研发、设计、制造、销售及综合信息服务;项目投资;计算机系统集成、软件产品开发;通讯产品、电子产品的研发与销售;进出口业务;与上述业务相关的技术交流;信息咨询;汽车(不含小轿车)的销售。,1997-08-21,1997-09-08,15,1997-07-22,其他发行方式,1.00,2500万,5.28,625万,1.32亿,1.24亿,12.07,12.12,64.53%,12.40,--,0.96%
长发集团长江投资实业股份有限公司,"Y.U.D. Yangtze River Investment Industry Co.,Ltd.",长江投资->G长投->长江投资,600119,*ST长投,--,--,--,--,上交所风险警示板A股,交运物流,上海证券交易所,交通运输、仓储和邮政业-道路运输业,李乐,居亮,俞泓,居亮,景如画,"赵春光,肖国兴,刘涛",021-66601817,cjtzbgs@cjtz.cn,021-66601820,www.cjtz.cn,上海市静安区永和路118弄35号,中国(上海)自由贸易试验区世纪大道1500号9楼,上海,200072,3.07亿,9131000013229432XE,619,17,上海市万联律师事务所,立信会计师事务所(特殊普通合伙),"长发集团长江投资实业股份有限公司,于1997年11月28日创立,1998年1月15日在上海证券交易所挂牌上市,股票简称:长江投资,股票代码:600119。主要经营业务为:实业投资、国内贸易、信息咨询服务,房地产开发经营,海上、航空、陆路国际货运代理业务,仓储,物业管理等。公司成立以来,始终秉承投资与投资服务模式,积极探索以平台经济或商业模式创新整合优质资源,推动公司转型发展。公司坚持资产股权化配置运营,不断优化资产结构,形成了现代物流、基础设施、气象科技、金融服务以及矿业资源等业务板块。","实业投资、国内贸易(除专项审批)、信息咨询服务,房地产开发经营,海上、航空、陆路国际货运代理业务,仓储,物业管理(以上涉及许可经营的凭许可经营)。",1997-11-28,1998-01-15,13.6,1997-11-20,网下定价发行,1.00,4000万,4.76,880万,1.90亿,1.82亿,12.98,12.17,63.75%,13.27,--,0.21%
浙江东方金融控股集团股份有限公司,"Zhejiang Orient Financial Holdings Group Co., Ltd.",浙江东方->G浙东方,600120,浙江东方,--,--,--,--,上交所主板A股,国际贸易,上海证券交易所,金融业-其他金融业,徐晓东,金朝萍,何欣,金朝萍,姬峰,"金祥荣,于永生,郭田勇",0571-87600383,invest@zjorient.com,0571-87600324,www.zjorient.com,浙江省杭州市西湖大道12号,浙江省杭州市西湖大道12号,浙江,310009,15.9亿,91330000142927960N,1505,18,浙江天册律师事务所,大华会计师事务所(特殊普通合伙),"浙江东方金融控股集团股份有限公司(简称“浙江东方”,证券代码600120)成立于1988年,1997年在上海证券交易所上市。2017年上半年,浙江东方的金融版图实现了重大扩展,在原有融资租赁、直接投资和基金管理业务的基础之上,纳入信托、期货、人寿保险、财富管理等多家金融子公司,成功实现了从“以商贸为主、类金融为辅”业务模式到“金控+商贸”双主业模式的跨越式发展,成为浙江省国有上市金控平台。2015年公司成立了跨境电商平台东方海纳,进一步带动传统外贸的业态转型和产业链资源整合。在生产制造领域,公司培育出了宁波狮丹努集团这样的 “全国服装行业百强企业”和“中国驰名商标”,该公司在业内具有较强竞争力,并在柬埔寨、缅甸、越南等国投资建厂。目前,狮丹努集团正在积极筹备海外上市。","资产管理;实业投资、私募股权投资及投资管理;企业管理咨询服务;投资咨询服务;供应链管理;电子商务技术服务;进出口贸易(按商务部核定目录经营);进口商品的国内销售;纺织原辅材料、百货、五金交电、工艺美术品、化工产品(不含危险品)、机电设备、农副产品、金属材料、建筑材料、贵金属、矿产品(除专控)、医疗设备的销售;承包境外工程和境内国际招标工程,上述境外工程所需的设备、材料出口,对外派遣工程、生产及服务行业的劳动人员(不含海员);商品物流业务;房地产开发与经营,房屋租赁;设备租赁;经济技术咨询。(依法须经批准的项目,经相关部门批准后方可开展经营活动)(以公司登记机关核定经营范围为准)",1994-10-26,1997-12-01,12,1997-11-12,网下定价发行,1.00,1250万,7.56,415万,9450万,7523万,23.81,23.18,78.98%,23.98,--,0.24%
郑州煤电股份有限公司,"Zhengzhou Coal Industry & Electric Power co.,Ltd.",郑州煤电->G郑煤电->郑州煤电->*ST郑煤,600121,郑州煤电,--,--,--,--,上交所主板A股,煤炭采选,上海证券交易所,采矿业-煤炭开采和洗选业,张海洋,于泽阳,陈晓燕,于泽阳,冯松江,"秦中峰,李伟真,吕随启",0371-87785121,zce600121@163.com,0371-87785126,www.zzce.com.cn,郑州市中原西路66号,郑州市中原西路66号,河南,450007,12.2亿,914100001700113867,16027,21,河南金苑律师事务所,亚太(集团)会计师事务所(特殊普通合伙),"郑州煤电股份有限公司(以下简称“公司”)是经原国家体改委体改生字〔1997〕第89号文批准,由郑州煤炭工业(集团)有限责任公司独家发起募集设立的股份有限公司,公司股票“郑州煤电”(600121)于1998年1月7日在上海证券交易所挂牌交易,是国有重点煤炭企业境内上市公司,河南省上市的原中央企业。公司地处国家重点煤炭工业基地之一的郑州矿区,主营煤炭生产及销售,发电及输变电。拥有生产矿井7对,火力发电厂1座,年煤炭生产能力1200多万吨,发电量4亿千瓦时。主导产品为中灰、低硫、高发热量、可磨性好的贫煤、贫瘦煤和无烟煤,是优质的工业动力煤。除主营业务外,公司还投资成立有物资供销、瓦斯发电、铁路运输等领域的控股公司。公司拥有强大的科技研发力量,各级各类技术人员2490人,由我公司独立研发的豫西“三软”不稳定煤层一次采全高技术和“三软”不稳定煤层高产、高效矿井的研究成果,分获河南省科技创新一等奖和二等奖等,并在全国推广应用,其技术特点在全国处于领先水平。公司秉承“科学发展、规范运作,精细管理、强化执行,开拓创新、做优做强,提高效益、回报社会”的经营管理理念,依托“中原经济区”国家战略,以产业运营为基础、以资本运作促发展,内抓管理、外树形象,全面实施煤炭资源综合开发与利用,从而把郑州煤电打造成为规范诚信、核心竞争力强、充满活力的新型能源上市公司。","煤炭生产及销售(限分支机构凭证经营);企业专用通信网建设与服务(限分支机构经营);企业信息化建设与服务(限分支机构经营);通信产品的销售与服务(限分支机构经营);发电及输变电(自用电);设备安装(国家有专项规定的除外);铁路货物运输(本企业内部自用);货物装卸;销售:建材,铁路配件;铁路工程施工;国内贸易(国家有专项专营规定的除外);咨询服务,信息服务,技术服务;设备租赁,房屋租赁。因特网接入服务业务。(以上范围中凡需审批的,未获批准前不得经营)",1997-11-13,1998-01-07,14.2,1997-10-28,其他发行方式,1.00,8000万,5.50,1480万,4.40亿,4.25亿,10.95,12.10,70.23%,12.60,--,0.79%
江苏宏图高科技股份有限公司,"Jiangsu Hongtu High Technology Co.,Ltd.",宏图高科->G宏图,600122,宏图高科,--,--,--,--,上交所主板A股,商业百货,上海证券交易所,批发和零售业-零售业,廖帆,廖帆,黄锦哲,廖帆,"贾伯涛,杨敏仪","张谊浩,王家琪,李浩",025-83274878,hiteker@hiteker.com.cn,025-83274701,www.hiteker.com.cn,江苏省南京市雨花台区软件大道68号,南京市浦口区高新开发区新科四路11号,江苏,210012,11.6亿,91320000134798505P,2583,12,江苏高的律师事务所,苏亚金诚会计师事务所(特殊普通合伙),"江苏宏图高科技股份有限公司成立于1998年,是上证380指数、中证民营企业200指数等重要指数成分股企业。公司名列“中国电子信息百强企业”排行榜、江苏省高新技术企业,拥有省级企业技术中心资质。","计算机、打印机、网络设备等信息类产品的开发、生产、销售,计算机应用软件及系统工程集成,贵金属投资、交易,通信设备、电线电缆、光纤光缆、电缆光缆附件、激光音视类产品、集成电路、电子元器件、照明电器的开发、生产、销售,铜材生产、销售,技术咨询服务,自营和代理各类商品和技术的进出口业务。",1998-04-17,1998-04-20,14.2,1998-03-27,网下定价发行,1.00,5000万,6.61,1200万,3.31亿,3.19亿,28.00,24.83,69.89%,28.00,--,0.54%
山西兰花科技创业股份有限公司,"Shanxi Lanhua Sci-Tech Venture Co.,Ltd.",兰花股份->兰花科创->G兰花,600123,兰花科创,--,--,--,--,上交所主板A股,煤炭采选,上海证券交易所,采矿业-煤炭开采和洗选业,李晓明,李晓明,王立印,李晓明,焦建波,"张建军,陈步宁,李玉敏",0356-2189656,lanhua@chinalanhua.com,0356-2189608,www.chinalanhua.com,山西省晋城市凤台东街2288号兰花科技大厦,山西省晋城市凤台东街2288号兰花科技大厦,山西,048000,11.4亿,91140000713630037E,18697,20,中勤律师事务所,信永中和会计师事务所(特殊普通合伙),"山西兰花科技创业股份有限公司(以下简称:兰花科创)成立于1998年12月,公司股票1998年12月17日在上交所上市,股票名称兰花科创,证券代码600123。 兰花科创现注册资本114240万元,其中国有股占45.11%,社会公众股占54.89%。截止2018年9月底,总资产252.24亿元,净资产106.6亿元,员工约1.85万人。 兰花科创现有煤炭生产矿井6座,年核定总产能840万吨,参股41%华润大宁矿年产能400万吨,年产120万吨永胜煤矿试运转,新建240万吨/年玉溪煤矿和总产能420万吨/年5座资源整合矿在建。现有化肥生产企业4家,装置年产能合成氨60万吨、尿素120万吨。现有化工企业3家,装置年产能甲醇30万吨、二甲醚20万吨、己内酰胺10万吨、硫酸铵15万吨、环已烷2.8万吨。 兰花科创地处全国无烟煤产区沁水煤田腹地。在晋城、临汾、朔州三地拥有煤炭资源面积177.8平方公里,无烟煤保有储量13.16亿吨,焦煤保有储量0.62亿吨,动力煤保有储量2.35亿吨。“兰花”牌煤炭为山西省标志性名牌产品,备受国内外化工、电力、冶金、建材等行业用户青睐,“兰花”牌尿素和甲醇、二甲醚、己内酰胺、硫酸铵等产品畅销国内十几个省市。 兰花科创是中国上市公司500强企业,股票先后入选上证50指数、上证180指数、沪深300指数样本股。先后荣获“国家级知识产权优势企业、山西省五一劳动奖状、山西省功勋企业、山西省创新型企业、上市公司中国证券市场金鼎奖”等多项荣誉,多次入选“中国上市公司竞争力百强、价值百强、内控百强、蓝筹百强、纳税百强、回报百强”等排行榜。 展望未来,兰花科创将继续秉承为股东创造财富、为员工创造价值、以业绩回报社会的使命,坚持“以煤为基、煤化并举、转型升级”发展理念,推进“强煤、减肥、扩化、发展新材料”发展战略,着力提升煤炭主业优势,大力实施化肥产业转型,积极开发煤化工新材料,推动企业经营发展由黑色向绿色、分散向集中、低端向高端转型升级,打造主营业务强、发展质量高、经济效益好的现代化企业集团。","煤炭(限下属有采矿和生产许可证的企业经营)、型煤、型焦、建筑材料的生产(仅限分支机构经营)、销售;矿山机电设备及其配件的加工、销售、维修;计算机网络建设及软件开发、转让;煤炭转化及综合利用技术的研究开发及服务;科技信息咨询服务;尿素、农用碳酸氢铵的生产、销售(仅限分支机构使用);煤矸石砖的生产、销售(限分支机构使用);经营本企业自产产品及技术的出口业务和本企业所需机械设备、零配件、原辅材料及技术的进口业务(国家限定公司经营或禁止进出口的商品和技术除外);煤炭洗选加工;危险化学品生产(仅限分支机构使用);煤炭批发、经营;化学原料和化学制品制造(危险化学品除外);化工产品批发(危险化学品除外);其他仓储服务(危险化学品除外);瓦斯的综合治理(包括地面及井下抽放)和商业利用;货物道路运输。(依法须经批准的项目,经相关部门批准后方可开展经营活动)。(具体经营范围以工商行政管理机构核定的为准)",1998-12-08,1998-12-17,13.73,1998-11-12,网下定价发行,1.00,8000万,4.12,1500万,3.30亿,3.15亿,6.50,6.88,65.12%,6.89,--,0.34%
中铁铁龙集装箱物流股份有限公司,"China Railway Tielong Container Logistics Co.,Ltd.",铁龙股份->铁龙物流->G铁龙,600125,铁龙物流,--,--,--,--,上交所主板A股,交运物流,上海证券交易所,交通运输、仓储和邮政业-铁路运输业,辛明,辛明,畅晓东,张骥翼,邵佐龙,"姜超峰,庄炜,李延喜",0411-82810881,zhengquan@chinacrt.com,0411-82816639,www.chinacrt.com,辽宁省大连市中山区新安街1号,大连市高新园区火炬路32号创业大厦A座2716号,辽宁,116001,13.1亿,91210200241272744N,2154,23,北京德恒律师事务所,致同会计师事务所(特殊普通合伙),"中铁铁龙集装箱物流股份有限公司 成立于1993年2月,1998年5月在上海证券交易所上市,成为中国铁路A股上市公司,股票简称“铁龙物流”,代码“600125”。入选沪深300指数股和近五年沪深股市“最佳成长公司50强”企业及“大连市文明单位”和“大连市首批A级纳税信誉等级单位”。公司成立以来,凭借得天独厚的资源优势,秉承“创新、务实”的经营宗旨,将资本市场与铁路产业有机结合,不断创新管理体制和经营方式,不断提升经营规模和经营质量,形成了特种集装箱运输、铁路货运与临港物流和房地产开发等主营业务格局。经历市场不断洗礼,公司已经发展成为资产质量优良、主营业务突出、盈利能力强、管理现代化的企业集团,是铁路行业探索现代物流业的示范性企业。未来,公司将坚持科学、和谐、可持续的发展理念,按照同类国际一流标准,转变经济增长方式,深化内部机制改革,优化资源配置,持续放大规模,提升创新能力和竞争能力,全力打造以铁路特种集装箱运输为主体,全国性、网络型的现代物流企业。",铁、公、水路运输;货物专用运输(集装箱);仓储;货物装卸;设备租赁;集装箱现场维修;承办陆路、水路、航空国际货运代理业务(包括揽货、订舱、中转、集装箱拼装拆箱、报关、报验、相关短途运输服务及咨询业务);国内水路货物运输代理、无船承运;物流技术开发、技术服务;企业管理咨询、经济信息咨询;化工产品(不含危险化学品及一类制毒化学品)、危险化学品(详见危险化学品经营许可证)批发;货物、技术进出口、国内一般贸易(法律、法规禁止的项目除外;法律、法规限制的项目取得许可证后方可经营);(以下仅限分公司经营)销售蔬菜、果品、肉、蛋、禽及水产品、预包装食品及散装食品;停车场管理服务。,1993-02-16,1998-05-11,14.9,1998-04-16,网下定价发行,1.00,2500万,6.84,743万,1.71亿,1.64亿,25.00,23.34,62.31%,25.99,--,0.24%
